sma_fast,sma_slow,adx_thr,risk,sl_atr,ts_atr,fee,slippage,total_return,Sharpe,MaxDD,CAGR,Calmar
20,300,25.0,0.015,1.5,1.5,0.0005,0.0002,0.7088810691465595,0.7672151218190844,-0.07533838607689902,0.1132681394623345,1.503458533697815
20,300,20.0,0.015,1.5,1.5,0.0005,0.0002,0.8249901347801927,0.840546772646066,-0.08540743764595882,0.1280193769388358,1.4989253918319985
30,300,25.0,0.015,1.5,1.5,0.0005,0.0002,0.705970617656978,0.7653483407394663,-0.07533838607689902,0.1128882041395387,1.4984154827037577
20,300,25.0,0.015,2.0,1.5,0.0005,0.0002,0.5044255662267716,0.7672027539171765,-0.05688821257113297,0.08522027810564525,1.4980305102587974
30,300,20.0,0.015,1.5,1.5,0.0005,0.0002,0.8240707971904642,0.8407038797936572,-0.08540743764595837,0.12790556601513936,1.497592827282204
20,300,25.0,0.01,1.5,1.5,0.0005,0.0002,0.4405169207015971,0.7671986313511837,-0.050681546404022115,0.07582784567941392,1.496162825714335
20,300,25.0,0.015,2.5,1.5,0.0005,0.0002,0.39087308709791113,0.7671953333228585,-0.04569576002510223,0.06829907237488331,1.4946479134467687
30,300,25.0,0.015,2.0,1.5,0.0005,0.0002,0.5024878638418186,0.7653360240586662,-0.05688821257113297,0.08494023592256417,1.493107835236605
20,300,25.0,0.01,2.0,1.5,0.0005,0.0002,0.3188322684485434,0.7671903863211547,-0.038182914098515486,0.056981935418416674,1.4923411888206846
30,300,25.0,0.01,1.5,1.5,0.0005,0.0002,0.4388632205204799,0.7653319185707141,-0.050681546404022115,0.07558041927839909,1.4912808436405758
20,300,25.0,0.01,2.5,1.5,0.0005,0.0002,0.24964097096836002,0.7671854393684036,-0.03062896986101571,0.045636967873307066,1.4899935610107935
30,300,25.0,0.015,2.5,1.5,0.0005,0.0002,0.38943296887601475,0.7653286342063912,-0.04569576002510223,0.06807748308221329,1.4897986825214422
20,300,25.0,0.005,1.5,1.5,0.0005,0.0002,0.20506277650779947,0.7671821414270902,-0.025570119947077363,0.0380587182434855,1.4884059332633506
30,300,25.0,0.01,2.0,1.5,0.0005,0.0002,0.3176907130006481,0.7653237077033,-0.038182914098515264,0.0567986656739472,1.487541404707919
20,300,20.0,0.015,2.0,1.5,0.0005,0.0002,0.580862666584101,0.8405455066564641,-0.0645777937643176,0.09604377026283673,1.4872569139378933
20,300,25.0,0.005,2.0,1.5,0.0005,0.0002,0.1510473060673969,0.7671780190310397,-0.01922075203868523,0.02856965338857642,1.4863962310670698
30,300,20.0,0.015,2.0,1.5,0.0005,0.0002,0.5802374038514553,0.8407026437258798,-0.06457779376431749,0.09595694814244649,1.4859124561091397
30,300,25.0,0.01,2.5,1.5,0.0005,0.0002,0.24877292861574896,0.7653187812522855,-0.030628969861015376,0.04549148139012549,1.4852435976969356
20,300,25.0,0.005,2.5,1.5,0.0005,0.0002,0.11953327946491821,0.767175545609735,-0.015397343854253731,0.02286778202988904,1.4851770699120612
30,300,25.0,0.005,1.5,1.5,0.0005,0.0002,0.204363774275093,0.7653154969805339,-0.025570119947077363,0.037938115563034946,1.483689385953437
20,300,20.0,0.01,1.5,1.5,0.0005,0.0002,0.5055132332379684,0.8405450846183091,-0.057557879535985346,0.08537734440923095,1.4833302598622105
30,300,20.0,0.01,1.5,1.5,0.0005,0.0002,0.5049761006967781,0.840702231664233,-0.05755787953598546,0.08529979026717349,1.481982848479393
30,300,25.0,0.005,2.0,1.5,0.0005,0.0002,0.15054527678747465,0.7653113916733911,-0.01922075203868545,0.028479804909710138,1.4817216752179658
30,300,25.0,0.005,2.5,1.5,0.0005,0.0002,0.11914206067829824,0.7653089285064725,-0.015397343854253287,0.0227961959997367,1.480527824507835
20,300,20.0,0.015,2.5,1.5,0.0005,0.0002,0.4473119240320964,0.8405447469728091,-0.05191419242839823,0.07684213496643744,1.4801758704504677
30,300,20.0,0.015,2.5,1.5,0.0005,0.0002,0.4468417910960705,0.8407019020008522,-0.05191419242839834,0.07677208105525724,1.4788264531157576
20,300,20.0,0.01,2.0,1.5,0.0005,0.0002,0.3633800303436616,0.8405442404795933,-0.04340225243106499,0.06403667433172622,1.4754228351036505
30,300,20.0,0.01,2.0,1.5,0.0005,0.0002,0.36300463896483426,0.8407014074823589,-0.04340225243106555,0.06397800148292854,1.474070996304692
20,300,20.0,0.01,2.5,1.5,0.0005,0.0002,0.28337369476362095,0.8405437339564258,-0.03483442956113392,0.05122906140517314,1.4706444758989632
30,300,20.0,0.01,2.5,1.5,0.0005,0.0002,0.28308626004389814,0.8407009129357572,-0.03483442956113336,0.051181910749035886,1.4692909111433328
20,300,20.0,0.005,1.5,1.5,0.0005,0.0002,0.23215190730295188,0.8405433962576777,-0.029091395162324285,0.04269002431493907,1.4674450667194576
30,300,20.0,0.005,1.5,1.5,0.0005,0.0002,0.231919418901813,0.8407005832224076,-0.029091395162324507,0.04265062484159654,1.4660907324524686
20,300,20.0,0.005,2.0,1.5,0.0005,0.0002,0.17043712559683577,0.840542974115524,-0.021877443395522445,0.03201611759837575,1.4634304849774329
30,300,20.0,0.005,2.0,1.5,0.0005,0.0002,0.17026925816192673,0.840700171063168,-0.021877443395522334,0.03198647644184738,1.4620756120157103
20,300,20.0,0.005,2.5,1.5,0.0005,0.0002,0.13461297081314583,0.8405427208202457,-0.01753027312799993,0.02561196868126836,1.461013670138435
30,300,20.0,0.005,2.5,1.5,0.0005,0.0002,0.13448175128659812,0.8406999237582512,-0.01753027312800004,0.02558821563696667,1.4596586972792893
20,300,25.0,0.015,1.5,1.0,0.0005,0.0002,0.6793240789940933,0.7306460239727227,-0.07555634315951099,0.10938540003245834,1.4477328501927236
20,300,25.0,0.015,2.0,1.0,0.0005,0.0002,0.48526042384989054,0.7306369010948185,-0.05709964973426562,0.08243769379551713,1.4437513045906847
20,300,25.0,0.01,1.5,1.0,0.0005,0.0002,0.42430798020005467,0.7306338602024081,-0.05088394748878711,0.07339279845736235,1.4423566189226051
