sma_fast,sma_slow,adx_thr,risk,sl_atr,ts_atr,fee,slippage,total_return,Sharpe,MaxDD,CAGR,Calmar
10,100,15.0,0.015,1.5,1.5,0.001,0.0005,0.0755066392768442,1.0236672209976176,-0.01449464796930966,0.07577551941442717,5.227827510876496
10,100,15.0,0.015,2.0,1.5,0.001,0.0005,0.056463899037223486,1.0236794924706083,-0.010870875037045646,0.05666319256317909,5.212385605582154
10,100,15.0,0.01,1.5,1.5,0.001,0.0005,0.050140368164296234,1.0236835822346764,-0.009662967168116876,0.05031681464303506,5.207180544818184
10,100,15.0,0.015,2.5,1.5,0.001,0.0005,0.04509032207580055,1.023686853784271,-0.00869664679067439,0.0452486168474695,5.202995813971727
10,100,15.0,0.01,2.0,1.5,0.001,0.0005,0.03753000906999726,1.0236917606727014,-0.007247176085931395,0.03766128664432422,5.196684363366625
10,100,15.0,0.01,2.5,1.5,0.001,0.0005,0.029987562818083013,1.023696667037978,-0.005797717213085196,0.030092076230041398,5.190331836489866
10,100,15.0,0.005,1.5,1.5,0.001,0.0005,0.02496927945492633,1.0236999376575895,-0.004831417870126087,0.025056090992480184,5.186074081359949
10,100,15.0,0.005,2.0,1.5,0.001,0.0005,0.018707783705369074,1.0237040256052077,-0.0036235510841738927,0.018772626748229992,5.180726395778088
10,100,15.0,0.005,2.5,1.5,0.001,0.0005,0.014956983425570947,1.023706478199501,-0.0028988349549489145,0.015008730230792189,5.177504226368308
20,100,15.0,0.015,1.5,1.5,0.001,0.0005,0.06891650798866067,0.9825497552409803,-0.01449464796930966,0.06916117370170816,4.771497303566601
20,100,15.0,0.015,2.0,1.5,0.001,0.0005,0.05157462153506143,0.9825648058974492,-0.010870875037045868,0.05175623852186306,4.761000227257481
20,100,15.0,0.01,1.5,1.5,0.001,0.0005,0.045810150832499286,0.982569821938702,-0.009662967168116987,0.04597102780112805,4.757444271652884
20,100,15.0,0.015,2.5,1.5,0.001,0.0005,0.041204510053795884,0.9825738344678174,-0.00869664679067439,0.04134889503204464,4.754579095518056
20,100,15.0,0.01,2.0,1.5,0.001,0.0005,0.03430606505782108,0.982579852755168,-0.007247176085931062,0.03442587935285535,4.750247399078144
20,100,15.0,0.01,2.5,1.5,0.001,0.0005,0.02741979660958571,0.9825858704349072,-0.005797717213085196,0.02751524173518516,4.745875095991997
20,100,15.0,0.005,1.5,1.5,0.001,0.0005,0.022835802732040777,0.9825898818839471,-0.004831417870126087,0.02291511410804059,4.742937730501578
20,100,15.0,0.005,2.0,1.5,0.001,0.0005,0.01711361004498757,0.9825948958155669,-0.0036235510841738927,0.017172881069917878,4.739240780934926
20,100,15.0,0.005,2.5,1.5,0.001,0.0005,0.013684493143504506,0.9825979039721183,-0.0028988349549490255,0.013731807783456285,4.737009176742783
20,200,15.0,0.015,1.5,1.5,0.001,0.0005,0.054384872719105415,0.8481566482553271,-0.01449464796930977,0.05457664024801545,3.7652960157137483
20,200,15.0,0.015,2.0,1.5,0.001,0.0005,0.04078645007417703,0.8481597340934514,-0.010870875037045868,0.04092934152425576,3.7650457193902396
20,200,15.0,0.01,1.5,1.5,0.001,0.0005,0.03625352639446433,0.8481607623818233,-0.009662967168116876,0.036380261083729604,3.7649161433319254
20,200,15.0,0.015,2.5,1.5,0.001,0.0005,0.03262724134297801,0.8481615848957872,-0.008696646790674167,0.03274110000145014,3.764795879322131
20,200,15.0,0.01,2.0,1.5,0.001,0.0005,0.02718800321235193,0.8481628184722018,-0.007247176085931395,0.027282630827194287,3.764587820648761
20,200,15.0,0.01,2.5,1.5,0.001,0.0005,0.021749119882514156,0.8481640518152578,-0.005797717213085085,0.021824616956483744,3.764346578896078
20,200,15.0,0.005,1.5,1.5,0.001,0.0005,0.018123465557320584,0.848164873914313,-0.004831417870126198,0.01818626526984568,3.7641673228672
20,200,15.0,0.005,2.0,1.5,0.001,0.0005,0.013591773651712602,0.8481659013923527,-0.0036235510841740037,0.01363876555880128,3.763922528474651
20,200,15.0,0.005,2.5,1.5,0.001,0.0005,0.010872990866748644,0.8481665178014398,-0.0028988349549488035,0.010910532390591143,3.7637646020395237
10,100,15.0,0.005,2.5,1.0,0.001,0.0005,0.01238259422897725,0.7137098315712949,-0.004858630281110887,0.012425379968434402,2.5573833054844908
10,100,15.0,0.005,2.0,1.0,0.001,0.0005,0.015469297422336492,0.7137105464934101,-0.006072041164713049,0.015522830202729931,2.5564435058410058
10,100,15.0,0.005,1.5,1.0,0.001,0.0005,0.02060562938611521,0.7137117380229429,-0.00809328159397138,0.020677117061504324,2.554849577568948
10,100,15.0,0.01,2.5,1.0,0.001,0.0005,0.02470721957931521,0.713712691239981,-0.009709272446621897,0.024793109029604077,2.5535496264944375
10,100,15.0,0.01,2.0,1.0,0.001,0.0005,0.030846898014452062,0.7137141210545588,-0.012131586345014433,0.030954451171846253,2.5515584105426754
10,100,15.0,0.015,2.5,1.0,0.001,0.0005,0.03697101207601494,0.7137155508559312,-0.014551889258196948,0.037100299564681416,2.549517722847097
10,100,15.0,0.01,1.5,1.0,0.001,0.0005,0.04104493288794231,0.7137165040495292,-0.016164305028682824,0.04118874770509451,2.5481298225941016
10,100,15.0,0.015,2.0,1.0,0.001,0.0005,0.0461272253659919,0.7137176955331922,-0.018178562885391325,0.04628924029818493,2.5463641207514778
10,100,15.0,0.015,1.5,1.0,0.001,0.0005,0.061304761552642084,0.713721269928933,-0.024212898382345305,0.06152163341219552,2.540862000108738
