timestamp,equity
2024-09-30 00:00:00+00:00,10000.0
2024-10-01 00:00:00+00:00,9964.270196905622
2024-10-02 00:00:00+00:00,9971.285295400707
2024-10-03 00:00:00+00:00,10180.031136064124
2024-10-04 00:00:00+00:00,10165.257247575999
2024-10-05 00:00:00+00:00,10279.827227584748
2024-10-06 00:00:00+00:00,10279.827227584748
2024-10-07 00:00:00+00:00,10279.827227584748
2024-10-08 00:00:00+00:00,10279.827227584748
2024-10-09 00:00:00+00:00,10217.075923742139
2024-10-10 00:00:00+00:00,10581.57037351839
2024-10-11 00:00:00+00:00,10581.57037351839
2024-10-12 00:00:00+00:00,10581.57037351839
2024-10-13 00:00:00+00:00,10581.57037351839
2024-10-14 00:00:00+00:00,10708.139056721448
2024-10-15 00:00:00+00:00,10763.035450124888
2024-10-16 00:00:00+00:00,10699.246890417466
2024-10-17 00:00:00+00:00,10826.593376460487
2024-10-18 00:00:00+00:00,10786.219934030312
2024-10-19 00:00:00+00:00,10856.874979686234
2024-10-20 00:00:00+00:00,10564.493194095912
2024-10-21 00:00:00+00:00,10564.493194095912
2024-10-22 00:00:00+00:00,10564.493194095912
2024-10-23 00:00:00+00:00,10564.493194095912
2024-10-24 00:00:00+00:00,10564.493194095912
2024-10-25 00:00:00+00:00,10616.366773541997
2024-10-26 00:00:00+00:00,10616.366773541997
2024-10-27 00:00:00+00:00,10616.366773541997
2024-10-28 00:00:00+00:00,11004.862298109349
2024-10-29 00:00:00+00:00,10912.681741591066
2024-10-30 00:00:00+00:00,10570.773956168703
2024-10-31 00:00:00+00:00,10419.540976807257
2024-11-01 00:00:00+00:00,10419.540976807257
2024-11-02 00:00:00+00:00,10419.540976807257
2024-11-03 00:00:00+00:00,10268.900758623084
2024-11-04 00:00:00+00:00,10488.861685892545
2024-11-05 00:00:00+00:00,10488.861685892545
2024-11-06 00:00:00+00:00,10497.02175667813
2024-11-07 00:00:00+00:00,10555.607553816266
2024-11-08 00:00:00+00:00,10547.045150182033
2024-11-09 00:00:00+00:00,11022.560839762114
2024-11-10 00:00:00+00:00,12123.10207351639
2024-11-11 00:00:00+00:00,11991.702442291778
2024-11-12 00:00:00+00:00,12285.62460572914
2024-11-13 00:00:00+00:00,11834.830858923699
2024-11-14 00:00:00+00:00,12300.901038911252
2024-11-15 00:00:00+00:00,12203.942848448622
2024-11-16 00:00:00+00:00,12203.942848448622
